ID,Division,RAS,RASdesc,pctinvalid,Team,Rank,Title,EducLv,Age,Sex,EthnicGrp,Citizenship,YearsofService,MyRole_Q1,MyRole_Q2,MyRole_Q3,MyRole_Q4,MyRole_Q5,MyRole_Q6,MyRole_Q7,MyRole_Q8,MyRole_Q9,MyRole_Q10,MyRole_Q11,RasManagement_Q1,RasManagement_Q2,RasManagement_Q3,RasManagement_Q4,RasManagement_Q5,RasManagement_Q6,RasManagement_Q7,RasManagement_Q8,RasManagement_Q9,RasManagement_Q10,RasManagement_Q11,RasManagement_Q12,RasManagement_Q13,RasManagement_Q14,RasManagement_Q15,WorkEnvironment_Q1,WorkEnvironment_Q2,WorkEnvironment_Q3,WorkEnvironment_Q4,WorkEnvironment_Q5,WorkEnvironment_Q6,WorkEnvironment_Q7,WorkEnvironment_Q8,WorkEnvironment_Q9,WorkEnvironment_Q10,WorkEnvironment_Q11,WorkEnvironment_Q12,WorkEnvironment_Q13,WorkEnvironment_Q14,WorkEnvironment_Q15,Communication_Q1,Communication_Q2,Communication_Q3,Communication_Q4,Communication_Q5,Communication_Q6,Communication_Q7,Communication_Q8,Communication_Q9,Training_Q1,Training_Q2,Training_Q3,Training_Q4,Training_Q5,Training_Q6,TrainingNeeds_Q1,TrainingNeeds_Q2,TrainingNeeds_Q3,TrainingNeeds_Q4,TrainingNeeds_Q5,TrainingNeeds_Q6,TrainingNeeds_Q7,TrainingNeeds_Q8,TrainingNeeds_Q9,ToolsResourcesAndProcesses_Q1,ToolsResourcesAndProcesses_Q2,ToolsResourcesAndProcesses_Q3,ToolsResourcesAndProcesses_Q4,ToolsResourcesAndProcesses_Q5,ToolsResourcesAndProcesses_Q6,ToolsResourcesAndProcesses_Q7,ToolsResourcesAndProcesses_Q8,ToolsResourcesAndProcesses_Q9,ToolsResourcesAndProcesses_Q10,ToolsResourcesAndProcesses_Q11,OverallSatisfaction_Q1,OverallSatisfaction_Q2,OverallSatisfaction_Q3,OverallSatisfaction_Q4,OverallSatisfaction_Q5,OverallSatisfaction_Q6
11,3,8,Public Health and Nursing,7.5,1,3,"Research Admin, Post Award III",3,70.80000305,1,2,1,22.70000076,4,4,4,5,5,4,3,3,4,,the job would be better and more meaningful if the RAS was not expected to be the quality control for other administrative units that the RAS depends on for key processes and information.,3,3,4,4,4,2,3,3,2,3,2,3,4,,,4,4,3,3,3,3,3,3,3,4,4,4,3,,,4,4,4,3,3,3,4,,,4,4,4,3,4,2,0,0,1,0,0,0,0,1,,4,3,3,4,4,4,3,4,3,,,4,4,4,4,4,
12,2,3,Cancer and Imaging,7.5,2,3,Clin Trials Pre-Awd Spc III,3,53,1,2,1,20.29999924,4,4,5,4,2,4,5,5,4,,"Opportunity to meet periodically with administrators on my level with similar responsibilities. For example, eggs and issues breakfast or lunch chew and chat about issues, networking opportunities, etc.",2,3,5,5,5,1,5,2,1,1,2,5,4,Need improvement addressing problem employees related to work performance.,Address work issues directly with employees and require accountability.,4,3,3,5,4,4,3,2,4,4,5,5,4,,,4,4,4,4,4,4,4,,,3,3,4,1,5,1,0,0,1,0,0,0,0,1,,4,2,3,4,5,4,3,4,4,,,5,4,5,4,3,
13,1,4,College and Professional Schools,7.5,1,2,"Research Admin, Post Award II",3,66.40000153,1,2,1,29.70000076,2,2,2,4,5,1,2,2,3,"When CAPS RAS was initially implemented, the responsibilities were somewhat clear. As we progressed responsibilities not only increased significantly but constantly changed. Pre- post award, as well as departmental ADA duties are not clearly defined. Deadines tend NOT to consider workload..",Define roles. Put decisions about tasks and responsibilities in writing. We are given information in meetings that is subject to change but rarely are these changes put in writing.,4,4,4,4,4,2,2,2,3,3,2,3,4,"I feel this survey should separate the questions when it comes to our immediate supervisors and RAS Directors. These are two separate and distinct roles.  I am comfortable expressing concerns, questions, and issues with my immediate supervisor about projet management as it relates to my entire portfolio. I am not comfortable discussing team dynamics, punitive management styles, hyper vigilant monitoring, with supervisor or director","Treat employees like seasoned professionals who are here to provide excellent customer service. Overall management styles tend to feel more like policing than leading, supporting, and developing.",3,3,4,4,2,4,2,3,2,3,4,4,3,Social gatherings are considered team building. Often these social events conflict with extremely heavy workloads and when staff are told attendance is mandatory this seems punitive especially when there are no adjustments to deadlines or the workload. Reearch Administrators have to somehow make up the time devoted to mandatory socializing which means working overtime,"Collaboration and working together, helping team members seems more of an individual core value than the result of any directed effort on the part of management to create an team environment. There is still too much ambiguity in what are the responsibilites of pre- and post award. This can cause frustration and actually undermine any efforts to work together. Management could improve the work environment on a simple level by saying good morning to staff when they come in. Management should put their decisons in writing as often when protocols are discussed in staff meetings, they either change or they are open to interpretation which can also be confusing. Making social events mandatory could be a sign that staff do not feel connected enough to sacrifice he time except for the mandatory demand. Management could devote time to learning the basics of team building outside of ""feeding people.""",4,4,2,2,4,4,3,"This survey should separate Central from other RAS units regarding the communication piece. RAS Central posts weekly updates and this has been consistent. These weekly updates are consistent, auto timed, and clear. However, this does not mean that local RS directors/supervisors share the information or make an effort to discuss application with local units.","Ensure staff understand how communication affects the local unit. Taking an actual or perceived stance that if the communication when out, staff are wholly responsible for application does not lend itself to competent leadership or staff development.",2,2,3,2,4,4,0,1,0,0,0,1,0,0,"Practical, hands on assistance and information on working with complex grants, contracts, and cooperative agreements. Having access to a network of Emory research professionals who are knowledgeable and available to assist, teach, and answer questions woud be an added value.",4,2,3,4,2,1,2,2,4,"It is nearly impossible to conduct telephone business from a cubicle. Compass could be faster and more efficient. Sales fores is not efficient as only one attachment can load in the system when multiple supporting documents are often required. Managing th workload routinely requires working evenings and weekends due to complexity and/or uneven distribution. There is a great deal of stress inherent in the position because we are managing faculty personalities and preferences, as well as KPIs, sponsor, and epartmental deadlines. Stress is compounded when management withholds or denies vacation requests until imposed deadlines or routine tasks are completed. This does not support Emory's commitment to work life balance. Staff should not feel like they cannotplan family/vacation time because of an extremely heavy workload. Especially when other staff with lighter loads as well as the Director and supervisors appear to take time off when they decide they need it.","SOPs need updating and they are too long. Directors and supervisors could become well versed with the SOPs as this would save staff much needed time to handle the daily tasks. Find ways to make team building as well as staff meetings a good developmental nd interactive event that staff want to attend rather than making attendance punitive and mandatory. Allow staff to manage their workload and to take the initiative to meet deadlines, or extend them, or delegate immediate priorities to their back up suppot. when they want time to rest, relax, vacation.",3,3,3,3,2,"I find satisfaction more in my core values and individual work ethic, which I brought to the RAS, Many of the Innate skills I possess help me to develop and maintain good relationships with all of my constituents and allow me to be creative and resourcefu in getting the answers and the tools needed to support and deliver on the RAS mission. Management could begin to look at workload distribution and perhaps consider assigning more than one research administrator to large and/or complex departments."
14,2,7,Pediatrics,5,1,3,"Research Admin, Post Award III",3,54.70000076,1,1,1,22,4,4,4,4,4,4,5,5,4,I am very satisfied with my job. It provides a good mix of desk work and faculty interaction.,"Although I feel my workload is challenging, yet manageable, some of my co-workers have expressed concerns that their workload is too heavy and they are unable to give each faculty the full attention they deserve.",2,4,4,4,4,1,5,4,4,4,4,4,4,"Our RAS director is great!  She is available, knowledgeable, and always ready to help.",A small increase in staff would increase effectiveness.  I believe our Director has addressed this issue directly.,4,4,4,4,4,5,5,4,5,4,4,4,4,,More privacy -- offices instead of cubicles.,4,4,4,4,4,4,4,Communication is great - the Blackboard is a great tool.,ERAZ meetings could be reinstated.  They provided a platform for learning and engaging with other RAS units.,4,4,5,5,5,2,0,0,1,0,0,1,1,1,,4,3,4,4,4,4,2,2,4,"I believe the tools we have are adequate to meet minimal standards.  In order to achieve superior levels of PI support, additional personnel are needed.",,4,4,5,5,4,I believe our RAS is very special in terms of leadership and job satisfaction among the staff.
15,2,2,Basic Sciences,6.25,1,3,"Research Admin, Post Award III",2,65.30000305,1,2,1,10.60000038,5,5,5,5,5,3,4,4,4,I love working with the faculty and department staff.  Faculty and staff who are cooperative and easy to work with make my job less difficult and influences the quality of my job performance.,Something very simple.  How about enhancing Sales Force to provide a follow-up notification within a day or two that contains the name of the person who is assigned to the ticket.  It appears that requests are not promptly assigned and it can be days/week before any response is received.,3,3,5,4,5,2,3,4,3,3,3,4,4,"My immediate supervisor uses the ""coaching"" approach, which I prefer instead of the ""one-on-one"" scheduled meetings.  As far as equitable workload, I have no idea if it is fair or not since this has never been discussed with me or my co-workers in an opensetting.","Generally, I think my RAS has effective management who are supportive.",4,5,5,5,4,2,3,3,4,5,5,5,3,"It was a struggle but my unit was finally allowed to work from home one day per week.  This was an important accomplishment as it greatly reflected on how we were perceived as professionals who could work independently away from the office.  Hopefully, ths benefit will continue.",,5,5,5,5,5,5,5,,,4,4,2,4,3,4,1,0,1,0,0,0,1,0,,4,3,4,4,4,3,3,4,4,SAM Kiosk needs to be updated to allow electronic approvals/workflow.  Having to get approval signatures is obsolete and time consuming.  The ART review/approval process also needs to be automated.,,4,4,4,4,4,
16,2,5,Department of Medicine,6.25,1,3,"Research Admin, Post Award III",3,37.09999847,0,1,1,15.10000038,3,1,3,4,4,2,1,4,2,"As we are the point person for the division and faculty, the RAS is wholly responsible for all aspects of research administration, but the majority of issues are delays and errors made outside the RAS.  This leads to frustration on the part of both the reearchers and RAS admin, who both have no options other than escalating issues through leadership without being able to resolve the problem directly.  We are constantly reminded by our leadership that the responsibility lies 100% with us, and are repeatedl asked to do more in order to satisfy metrics, but are not given adequate support to resolve issues without their involvement or opinions.  In this environment, it is difficult to both understand your responsibilities and be satisfied with the job itself.","Our workload is solely determined by our leadership, constantly changes, and is in no way balanced among members.  Furthermore, with the constant personnel turnover, we are not able to form relationships with our faculty nor can we become comfortable withour portfolio.   While one of the main points of the RAS was to provide excellent point of contact customer service, that cannot be accomplished if the faculty do not know who their current RAS admin are.",2,3,2,4,4,5,2,1,1,1,1,2,2,"When I voice my concerns and suggestions for improvement, my supervisor constantly indicates that they cannot make any decisions without the RAS Director, and that they will most likely say no or  do it the way they initially dictated.  If I take initiatie or try to resolve a problem myself, I am admonished if it is not previously approved by the Director or Asst Director.  Additionally, the only time I am asked to meet with the Director or Asst. Director, is when something is wrong, even if I am not at fult.    This RAS refuses to allow employees to work part-time, work a 10 hour/4day week, or have more than 1 work from home day a week, regardless of whether an employee wishes to return to school and obtain a graduate degree or has dependents that requir them to be out of the office.","Due to the complexity of our portfolios and constant workload, employee retention should be paramount to management, with a focus on promotion and salary increases for workers based on workload performance and not administrative tenure.",5,4,4,5,3,2,4,1,2,2,5,5,2,"Central RAS does not provide meaningful administrative support to RAS groups, focusing on metrics and not on solving research and administrative related inter-ORA issues.  the DOM RAS office structure does not allow for easy communication between employee, creating silos based on suites and a severe lack of personal/private space.","The DOM RAS needs a separate meeting room space from the fridge/coffee/printer area so that meetings with faculty can be conducted without constant interference.  Employees should be provided with new laptops every 2-3 years, as is standard in most corporte offices.  RAS employees should be allowed to request standing desk options, as their work is almost entirely performed sitting, which can cause back problems.",3,3,2,2,3,2,2,"For the RAS, policies and procedures change constantly.  Most of the time we are asked to learn a new document or role, the 'kinks' haven't been fixed, and we have to submit salesforce tickets so that it can be corrected.  We often receive e-mails asking s to download newer versions or notifying us that the sites are down, which makes utilizing the tools difficult or frustrating.","Beta testing should be done before new tools or forms are implemented, not after.  Likewise, sequential rollouts to different RAS groups for new tools do not make sense, as each RAS have different portfolios whose sponsors could require that different verions or edits to the tool be made.",4,4,4,4,3,3,0,0,1,1,1,0,0,0,Leadership training.,3,2,2,3,2,2,2,2,4,,,2,4,4,3,3,"Performance based merit increases, recognition of exemplary work instead of just admonishment for mistakes, and leadership development opportunities."
17,3,8,Public Health and Nursing,3.75,1,7,"Research Admin, Pre-Award Mgr",1,59.90000153,1,1,1,18.60000038,4,4,4,5,5,4,5,4,5,,,5,5,5,5,5,1,5,5,5,5,4,5,5,Our RAS Director has been such a positive addition to our unit.  She is fair and willing to do what she can to help all members of our team.  She will pitch in during high submission times to assist with getting proposals out the door.,,4,4,4,4,4,3,3,3,1,5,5,5,3,,,4,3,3,3,3,3,3,,,3,2,2,2,3,4,1,1,1,0,1,0,0,1,,3,1,3,3,4,4,4,4,3,,,4,3,5,5,3,
18,3,8,Public Health and Nursing,5,1,2,"Research Admin, Pre-Award II",2,48.40000153,1,2,1,17.79999924,4,4,4,4,4,3,4,4,4,,,5,5,5,5,5,2,5,5,5,5,4,5,5,The scheduled and non-scheduled communication helps with feeling part of a team and in dealing with things in the past I would  have had to figure out on my own.,,5,5,5,5,5,5,4,4,4,4,5,5,3,,,5,5,5,4,3,4,4,It would be great to have consistency in communication from OSP regarding operating procedures.,,2,4,3,3,3,3,1,1,1,0,1,0,0,0,"Using non-Emory systems (ASSIST, eRA Commons, NSF, NASA, etc.)",4,3,3,3,3,3,4,4,4,,,4,4,4,4,4,
19,2,3,Cancer and Imaging,8.75,1,3,"Research Admin, Post Award III",3,44.40000153,1,1,1,16.5,4,4,4,4,4,2,2,2,3,"RAS employees aren't valued .  Those of us with many years of Emory experience have been in departments that did value and appreciate us.  Now we are in RAS units, each having it's management's own agenda and some of the best research administrators at Emry are now subject to hostile work environments.  It's sad that this is what are jobs have been reduced to.  We are professionals too.  Many of us continuing our education while working and our RAS positions are demotions to the department positions we one had.  This change doesn't seem to have benefited the University or the faculty we serve.","To be valued again as a professional research administrator, that takes great pride in her work and serving the faculty of the University.  To once again be respected for my work and not who I know that helps me get a job.  To no longer be subject to a poitical hierarchy that doesn't allow the best research administrators advancement opportunities but only those that are typically less talented but who may know the right person and play along with all the politics and games, which has led the University ad our faculty to suffer.  To be respected based on my almost 17 years of Emory experience equally to all those that management has brought in from other universities.",2,2,2,2,2,3,2,1,1,3,2,2,2,"Not everyone is treated the same.  Expectations are not the same for everyone.  If I have excellent work ethic and produce great work results that the faculty appreciate, show me that is appreciated by allowing me advancement opportunities like I once had","Treat everyone fairly.  Encourage an environment of mutual respect for everyone, not just allowing exceptions for your friends or allowing some to be disrespected by others due to their race.  Some of us enjoy a workplace of peace and not tension, drama, nd games.  I've always loved my job at Emory and felt I could advance, but now I feel like I'm nothing to my management.  It's all about them, their advancement, their friends and their agenda.",2,2,2,2,4,2,3,3,3,2,4,4,1,"RAS employees like myself would be more satisfied with our work environment if we were respected for the level of work we deliver.  If you work 8 or more hours at Emory, go home and work several more hours to get the work done and go the extra mile, then ou should be valued in words and actual action.  There is a lack of equity.  If you've put in the years, have the education, produce excellent work results and can perform in each and every area of your job, you should make just as much or more than someoe who is newly hired, with less experience, and doesn't have to complete each and every job duty.","Fairness, mutual respect, equity in pay, opportunity for advancement for the strongest RAS performers.  Respect amount pre and post award.  Some of us our demeaned by our colleagues and this is allowed by management.  Our jobs between pre and post award ae distinctly different, but there isn't mutual respect.  It's not about just talking about a team, lets actually be one: RAS pre and post award, OSP, and FGC.  I find my colleagues in OSP and FGC to be more willing to work with me as a team than those in he same office with me.",2,4,4,2,2,2,2,"Communication between key offices regarding change are not always communicated consistently to all RAS units.  Every RAS is different.  Initially I think the plan was for consistency, but now every RAS functions differently.  Meetings like ERAZ used to ply an important role in communicating changes in central offices like OSP and FGC to the research community and now that doesn't exist.",Meetings like ERAZ that can communicate changes in all offices including central offices so that there is accountability for everyone.   Maybe a newsletter/blog for research administration at Emory.,4,2,2,2,3,3,1,0,0,0,0,0,0,0,"Everyone is at different levels.  I've had enough training through working in multiple roles at the University to function in all levels of my job.  I think training/communicating changes in policies would be beneficial.  If the roles of the RAS change rearding the management of certain grants, such as training grants (T32 grants), lets have informational sessions that focus on these grants and duties besides just figuring it out as we go.  Lets have some training and clear documentation on roles and respnsibilities besides just suddenly finding out you're responsible for everything as the RAS employee.  Professional development in advanced grants management topics would be beneficial to me so that I continue learning and feel challenged.  Since portfolio vary from RAS to RAS, lets discuss sponsor specific requirements, which I had training on when I worked in OGCA.",4,2,3,4,4,2,3,3,2,,"I was involved with SOP review and development as part of one of the RAS pilots and there is some grey areas that could be clarified.  The SOPs are good high level guides for the most part, but there is no guide for everything that we do as research adminstrators.  This makes some things difficult to those new to research administration and/or Emory.  Over the years we gain an extensive knowledge requiring we think about numerous things at one time and how if affects the award we manage.  This is somethin you learn over time how to analyze situations thoroughly and I look at the impacts across the board having worked in the department, central grants accounting office, and the RAS.",2,2,3,3,2,I would just like to feel valued again for the quality of work I provide as a professional research administrator.
20,2,1,"Anesthesiology, Brain Health, Orthopaedics, and Surgical Services",5,1,3,"Research Admin, Post Award III",3,49.90000153,0,3,1,17.29999924,5,5,5,5,4,4,4,4,4,The job definitely sets the parameters of what to expect in terms of deliverables and provides seasoned employees the opportunity to have flexible work schedules.,"Personal recognition from faculty members, identification of opportunities outside of RAS (we seem pigeon holed), and more level work loads among employees within the same job titles would make the job better.",5,5,5,5,5,2,4,3,3,5,2,5,5,"They are very supportive and enthusiastic.  Realistically, there really is not much incentive to do more than the minimum because of limited upward opportunties and the growing work load being bestowed upon us to execute from central.","Their seems to be a desire to strive for excellence but realistically, that is difficult to achieve when the work load becomes more and more and yet we are anticipated to go the extra mile to appease our customers.  I think there should be consideration a to the quality of the work being delivered not just the quantity.  There should be emphasis of  this type of customer service and RAS staff should be recognized accordingly to motivate them to continue to do good work.",4,4,4,5,4,4,5,5,4,5,5,5,5,The noise level often is a distraction that can lead to a dissatisfied work environment.,"Enclosed work stations, bigger break rooms. and observed mandatory ""quiet times"" would be nice.",5,5,5,5,4,5,4,Communication is highly emphasized and appreciated.,Weekly announcements are a bit much.  Twice a month/would be good.  Video demonstrations of job aids could take the training to a new level.,4,4,4,4,4,4,0,1,0,0,1,1,0,1,,5,5,5,5,4,4,5,4,4,Processes and tools are adequate.,"The time needed to ""get up to speed"" on new tools can be rushed.  Also, the relinquishment of duties (less projects) should be implemented if more deliverables (ie. FRS's) are expected.",4,4,4,4,4,"There is no upward mobility in these positions under than leadership in RAS units.  In addition, there is not enough time to create new processes or be part of such ingenuity due to the workload that is expected.  I would recommend more faculty recognitio, less projects to manage, and bonuses to recognize outstanding customer service and creativity.  Also social events centering on no more than two RAS units per quarter would be a good idea to build relationships within and among units."
21,2,5,Department of Medicine,7.5,1,2,"Research Admin, Post Award II",1,52.5,1,2,1,16.29999924,4,2,4,4,5,4,3,2,4,,,4,4,4,4,3,2,4,3,2,3,2,3,4,,,4,4,3,4,3,3,4,2,3,4,4,4,2,,,4,4,4,3,2,2,3,,,2,2,2,3,4,3,0,1,0,0,0,1,0,0,,2,3,3,2,2,2,2,1,4,,,4,4,4,4,4,
